Run   Combination (x1,x2,x3,...)                                                       R_c_ass (AC)              Porosity_ass (AC)         eval (f)                  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     (5,2,1,3,1,1,2,4,39,7150)                                                        7.567099                  0.739692                  6.827408                 
2     (1,2,4,1,2,3,2,2,14,6550)                                                        8.294454                  0.754649                  7.539805                 
3     (6,2,3,2,1,1,1,3,34,1600)                                                        9.471386                  0.779298                  8.692088                 
4     (5,4,5,2,3,1,2,3,39,6650)                                                        9.327651                  0.602835                  8.724816                 
5     (5,1,2,1,1,3,1,3,29,1800)                                                        11.438613                 0.841245                  10.597367                
6     (5,2,5,2,2,2,3,2,42,3150)                                                        8.761687                  0.764287                  7.997400                 
7     (4,4,1,2,1,2,3,3,47,6400)                                                        9.500262                  0.606283                  8.893979                 
8     (3,2,4,3,2,2,3,1,33,9750)                                                        7.501241                  0.738384                  6.762857                 
9     (5,3,4,3,1,2,3,2,1,8600)                                                         11.634131                 0.689579                  10.944552                
10    (1,3,2,1,3,3,1,2,11,6050)                                                        11.322713                 0.681936                  10.640777                
11    (4,3,5,1,1,1,1,3,2,10750)                                                        9.968461                  0.649653                  9.318808                 
12    (1,2,4,1,3,2,1,3,47,11450)                                                       7.108931                  0.728195                  6.380736                 
13    (2,4,4,1,2,2,2,3,25,5550)                                                        10.453960                 0.628764                  9.825196                 
14    (2,4,3,3,1,1,1,3,39,3450)                                                        11.047568                 0.648603                  10.398965                
15    (1,4,4,3,1,1,2,4,23,11150)                                                       8.762101                  0.592245                  8.169856                 
16    (5,4,2,2,2,2,1,3,25,6000)                                                        9.337195                  0.603022                  8.734173                 
17    (5,3,2,2,2,2,1,3,21,10550)                                                       9.844703                  0.644608                  9.200095                 
18    (3,4,2,2,2,2,2,2,45,2600)                                                        10.633862                 0.634054                  9.999809                 
19    (6,4,4,2,2,3,1,1,44,1400)                                                        11.379070                 0.664410                  10.714660                
20    (2,4,4,1,2,2,2,2,33,1500)                                                        11.366942                 0.663726                  10.703215                
21    (4,2,3,3,1,2,2,3,16,6950)                                                        8.259781                  0.753936                  7.505845                 
22    (3,2,2,2,2,2,3,3,16,5600)                                                        7.784665                  0.744145                  7.040520                 
23    (4,3,5,2,1,2,2,3,13,4500)                                                        12.146333                 0.702900                  11.443433                
24    (4,1,4,2,2,2,1,3,35,9050)                                                        10.197642                 0.812806                  9.384835                 
25    (1,5,5,2,2,1,2,4,38,5450)                                                        10.434796                 0.774116                  9.660680                 
26    (3,5,1,1,2,2,2,2,41,8500)                                                        9.514931                  0.740496                  8.774434                 
27    (3,2,5,1,2,2,1,2,41,11200)                                                       6.521999                  0.697993                  5.824006                 
28    (5,3,4,3,2,2,2,1,14,9850)                                                        11.254868                 0.680305                  10.574563                
29    (5,2,2,2,1,2,2,2,41,550)                                                         9.556990                  0.781161                  8.775829                 
30    (4,5,3,2,3,2,2,3,31,11600)                                                       9.581182                  0.743407                  8.837776                 
31    (2,4,3,2,2,3,2,1,12,10650)                                                       8.967234                  0.595986                  8.371248                 
32    (5,2,3,2,3,3,1,3,20,7650)                                                        8.082636                  0.750292                  7.332344                 
33    (5,4,4,2,1,3,2,3,23,150)                                                         11.546411                 0.675114                  10.871296                
34    (1,1,1,2,3,1,1,2,25,11750)                                                       8.548486                  0.737202                  7.811284                 
35    (1,3,5,1,1,3,2,3,27,4700)                                                        12.071169                 0.700873                  11.370296                
36    (4,4,5,3,2,2,2,4,17,4800)                                                        10.002041                 0.617207                  9.384835                 
37    (5,4,3,3,2,2,2,3,15,6100)                                                        10.370517                 0.626464                  9.744053                 
38    (3,4,2,1,2,1,2,2,35,6600)                                                        9.125165                  0.598937                  8.526228                 
39    (4,5,3,3,2,3,1,4,46,11500)                                                       9.608441                  0.744616                  8.863825                 
40    (3,4,4,2,3,2,2,2,31,10300)                                                       9.010371                  0.596785                  8.413586                 
41    (4,1,3,3,3,3,2,1,30,5750)                                                        11.076560                 0.832634                  10.243926                
42    (2,2,5,1,1,3,3,2,37,10500)                                                       6.670408                  0.705686                  5.964721                 
43    (3,1,3,3,3,2,1,3,20,4700)                                                        11.312553                 0.838198                  10.474355                
44    (5,2,2,2,2,2,1,1,23,600)                                                         9.539331                  0.780776                  8.758555                 
45    (5,2,5,1,1,3,3,4,26,3700)                                                        8.582207                  0.760574                  7.821634                 
46    (6,4,3,1,1,2,1,2,46,3850)                                                        10.960636                 0.645190                  10.315446                
47    (4,5,4,2,2,2,2,3,23,5550)                                                        11.142434                 0.793008                  10.349426                
48    (1,3,3,2,2,1,2,2,33,5850)                                                        12.501978                 0.712924                  11.789054                
49    (1,2,4,1,2,2,2,1,24,8500)                                                        7.810806                  0.744685                  7.066121                 
50    (2,4,3,3,2,3,2,4,28,4400)                                                        10.830237                 0.640463                  10.189773                
51    (6,5,5,3,3,2,2,3,4,11350)                                                        8.638440                  0.703177                  7.935262                 
52    (3,4,1,2,3,3,3,1,41,3300)                                                        10.636629                 0.634139                  10.002490                
53    (5,4,4,2,3,1,2,2,34,9000)                                                        9.405930                  0.604383                  8.801547                 
54    (2,4,3,2,2,3,2,1,11,10950)                                                       8.877692                  0.594342                  8.283351                 
55    (6,3,2,2,2,2,2,3,1,7050)                                                         10.960026                 0.673326                  10.286700                
56    (2,3,4,2,2,3,3,1,39,10900)                                                       10.937998                 0.672810                  10.265188                
57    (2,1,4,2,3,3,1,2,28,750)                                                         11.941502                 0.854044                  11.087458                
58    (3,3,2,2,3,1,2,3,34,6700)                                                        11.084743                 0.676258                  10.408485                
59    (5,4,5,2,2,2,2,3,33,100)                                                         11.542130                 0.674805                  10.867325                
60    (4,3,1,1,2,2,2,3,36,1850)                                                        13.140568                 0.733409                  12.407159                
61    (2,3,4,2,1,2,3,2,45,4900)                                                        12.680527                 0.718278                  11.962250                
62    (5,3,2,1,2,2,2,4,34,2850)                                                        12.561228                 0.714674                  11.846554                
63    (4,4,3,2,3,2,2,3,7,6400)                                                         10.281806                 0.624110                  9.657696                 
64    (3,4,4,1,3,3,2,2,36,3800)                                                        10.914299                 0.643461                  10.270839                
65    (5,4,1,2,2,1,3,3,23,8500)                                                        8.783042                  0.592623                  8.190419                 
66    (3,4,2,2,2,2,3,1,33,7050)                                                        8.985128                  0.596317                  8.388811                 
67    (4,3,3,2,3,3,1,4,33,2900)                                                        13.178692                 0.734771                  12.443922                
68    (5,1,3,2,3,2,2,2,35,800)                                                         11.945323                 0.854146                  11.091177                
69    (3,3,5,1,2,3,3,2,3,50)                                                           13.612880                 0.751903                  12.860977                
70    (4,5,5,3,3,2,2,1,11,2300)                                                        11.487000                 0.803146                  10.683853                
71    (2,2,2,2,1,1,1,2,10,5900)                                                        7.689649                  0.742187                  6.947462                 
72    (2,5,2,2,3,1,1,1,46,7400)                                                        9.608317                  0.744610                  8.863706                 
73    (4,2,4,3,1,2,2,2,27,1500)                                                        9.467017                  0.779203                  8.687814                 
74    (5,4,3,2,3,3,2,3,34,1600)                                                        11.373615                 0.664101                  10.709514                
75    (6,3,5,2,2,3,2,2,34,3850)                                                        12.388660                 0.709646                  11.679015                
76    (2,2,5,2,1,2,2,1,4,1050)                                                         9.441192                  0.778644                  8.662548                 
77    (3,2,4,2,3,2,1,2,13,4950)                                                        8.688353                  0.762767                  7.925586                 
78    (4,1,4,2,2,1,2,1,14,3450)                                                        11.498840                 0.842722                  10.656119                
79    (2,3,3,3,1,1,1,2,45,7550)                                                        12.014664                 0.699367                  11.315297                
80    (3,4,4,2,2,2,1,1,13,2700)                                                        11.148364                 0.652879                  10.495485                
81    (2,5,4,3,2,1,3,3,13,7900)                                                        10.558135                 0.777202                  9.780933                 
82    (4,4,3,3,2,1,1,3,34,2400)                                                        11.248090                 0.657518                  10.590572                
83    (2,2,5,1,1,2,1,3,32,1200)                                                        9.392576                  0.777594                  8.614982                 
84    (4,4,4,3,1,2,1,1,35,11000)                                                       8.817243                  0.593242                  8.224001                 
85    (1,4,3,2,1,1,1,1,43,6700)                                                        10.187049                 0.621689                  9.565360                 
86    (5,5,3,2,2,3,3,2,36,5050)                                                        11.310689                 0.797871                  10.512818                
87    (2,1,4,1,3,2,1,4,2,1350)                                                         11.855231                 0.851764                  11.003467                
88    (5,2,1,1,2,3,3,4,29,6700)                                                        7.702518                  0.742452                  6.960066                 
89    (5,3,2,1,2,3,2,3,46,1350)                                                        13.139930                 0.733387                  12.406543                
90    (5,3,5,1,2,2,1,2,6,2900)                                                         12.733898                 0.719927                  12.013971                
91    (4,2,2,2,1,3,1,1,28,1700)                                                        9.134583                  0.772091                  8.362492                 
92    (2,3,4,2,3,1,2,2,47,4000)                                                        12.897424                 0.725141                  12.172283                
93    (3,3,5,2,2,1,1,4,11,4200)                                                        12.259020                 0.705995                  11.553025                
